video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount
8_gdcaX9Xqk,MrBeast,"Would You Split Or Steal $250,000?",,2024-05-03 16:00:00+00:00,17483081.0,1810504.0,,13291.0,PT1M,hd,False,Friday,60.0,0
Pv0iVoSZzN8,MrBeast,10 Minutes To Escape Or This Room Explodes!,,2024-04-27 16:00:00+00:00,74336611.0,3294055.0,,79768.0,PT10M,hd,True,Saturday,600.0,0
CWbV3NItSdY,MrBeast,The World's Fastest Cleaners,,2024-04-25 16:00:03+00:00,103547821.0,6490767.0,,18266.0,PT35S,hd,False,Thursday,35.0,0
VLqZUENAFY4,MrBeast,Deal or No Deal with Howie Mandel,,2024-04-23 16:00:01+00:00,22052638.0,1423642.0,,6513.0,PT44S,hd,False,Tuesday,44.0,0
l-nMKJ5J3Uc,MrBeast,"Ages 1 - 100 Decide Who Wins $250,000",,2024-04-20 15:59:59+00:00,127843331.0,4716536.0,,202388.0,PT40M2S,hd,True,Saturday,2402.0,0
XE1Qyss8GIY,MrBeast,"Guess The Gift, Keep It",,2024-04-09 17:00:00+00:00,144499555.0,7826473.0,,15448.0,PT46S,hd,False,Tuesday,46.0,0
6GzHPS0rEgc,MrBeast,"I’m Giving My 250M Subscriber $25,000",,2024-04-06 19:45:00+00:00,41436247.0,3429715.0,,34970.0,PT21S,hd,False,Saturday,21.0,0
imhY0pe-Sd8,MrBeast,"Anything You Touch, You Keep!",,2024-04-02 16:00:03+00:00,78367644.0,4754784.0,,11505.0,PT48S,hd,False,Tuesday,48.0,0
erLbbextvlY,MrBeast,7 Days Stranded On An Island,,2024-03-30 16:00:01+00:00,139838988.0,5157028.0,,141779.0,PT22M26S,hd,True,Saturday,1346.0,0
OnTTThIzuNU,MrBeast,"Keep Track Of Car, Win $10,000",,2024-03-19 16:00:00+00:00,79542885.0,4600802.0,,20376.0,PT51S,hd,False,Tuesday,51.0,0
mKdjycj-7eE,MrBeast,"Stop This Train, Win a Lamborghini",,2024-03-16 16:00:00+00:00,125473775.0,4428711.0,,128938.0,PT18M53S,hd,True,Saturday,1133.0,0
tWYsfOSY9vY,MrBeast,I Survived 7 Days In An Abandoned City,,2024-03-02 17:00:00+00:00,168856323.0,5442649.0,,206050.0,PT17M24S,hd,True,Saturday,1044.0,0
sH48lKbayNU,MrBeast,Unboxing My 200M Subscriber Play Button,,2024-02-29 17:00:00+00:00,119190026.0,8853407.0,,37735.0,PT46S,hd,False,Thursday,46.0,0
AFXoSFNMwIA,MrBeast,I Filled Chandler’s Car With Feastables,,2024-02-27 18:00:01+00:00,135877725.0,7410935.0,,17132.0,PT38S,hd,False,Tuesday,38.0,0
AjwAdtlRKf8,MrBeast,"Buy Feastables, Win $10,000",,2024-02-17 19:00:01+00:00,152398128.0,8902729.0,,20933.0,PT41S,hd,False,Saturday,41.0,0
KOEfDvr4DcQ,MrBeast,"Face Your Biggest Fear To Win $800,000",,2024-02-10 17:00:00+00:00,197076094.0,5353153.0,,231742.0,PT22M3S,hd,True,Saturday,1323.0,0
krsBRQbOPQ4,MrBeast,"$1 vs $250,000,000 Private Island!",,2024-01-27 17:00:00+00:00,175844573.0,4918752.0,,104183.0,PT16M59S,hd,True,Saturday,1019.0,0
7ESeQBeikKs,MrBeast,"Protect $500,000 Keep It!",,2024-01-13 17:00:00+00:00,126650266.0,4307914.0,,77174.0,PT15M34S,hd,True,Saturday,934.0,0
K_CbgLpvH9E,MrBeast,I Spent 7 Days In Solitary Confinement,,2023-12-30 17:00:03+00:00,150312909.0,4548413.0,,82958.0,PT20M16S,hd,True,Saturday,1216.0,0
lOKASgtr6kU,MrBeast,I Saved 100 Dogs From Dying,,2023-12-23 17:00:00+00:00,175441957.0,5387833.0,,101179.0,PT15M3S,hd,True,Saturday,903.0,0
